date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:22	69714/69714	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/index.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/index.html	(from )
22:51:23	29/29	---M--	200	added ('OK')	text/plain	date:Fri,%2029%20Apr%202016%2015:10:39%20GMT	http://designarc.biz/robots.txt		(from )
22:51:23	1675/1675	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202017%2008:54:08%20GMT	http://designarc.biz/demos/unilevor/theme/img/favicon.png	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/img/favicon.png	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:25	142181/142181	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2008:10:50%20GMT	http://designarc.biz/demos/unilevor/theme/css/bootstrap.min.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/css/bootstrap.min.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:26	1528/1528	---M--	200	added ('OK')	text/css	date:Wed,%2011%20Jul%202018%2002:06:20%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/flaticon/flaticon.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/flaticon/flaticon.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:26	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Oct%202017%2003:49:42%20GMT	http://designarc.biz/demos/unilevor/theme/css/font-awesome.min.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/css/font-awesome.min.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:27	4007/4007	---M--	200	added ('OK')	text/css	date:Mon,%2009%20May%202016%2001:32:24%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/jqery-nice-selector/css/nice-select.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/jqery-nice-selector/css/nice-select.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:27	9601/9601	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Apr%202018%2006:47:08%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/magnify-popup/magnific-popup.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/magnify-popup/magnific-popup.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:28	29629/29629	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202016%2023:25:22%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/revolution/css/settings.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/revolution/css/settings.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:29	146597/146597	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Jun%202016%2020:28:56%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/revolution/css/layers.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/revolution/css/layers.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:30	59576/59576	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2020:23:00%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/revolution/css/navigation.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/revolution/css/navigation.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:32	72259/72259	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jun%202016%2007:30:04%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/animate-css/animate.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/animate-css/animate.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:34	2936/2936	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2008:43:12%20GMT	http://designarc.biz/demos/unilevor/theme/vendors/owl-carousel/owl.carousel.min.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/vendors/owl-carousel/owl.carousel.min.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:34	95661/95661	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202019%2001:57:40%20GMT	http://designarc.biz/demos/unilevor/theme/css/style.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/css/style.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:36	17053/17053	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jul%202018%2002:33:58%20GMT	http://designarc.biz/demos/unilevor/theme/css/responsive.css	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/css/responsive.css	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:36	2630/2630	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Jan%202019%2001:45:26%20GMT	http://designarc.biz/demos/unilevor/theme/img/logo.png	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/img/logo.png	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:38	64158/64158	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/index2.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/index2.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:38	64169/64169	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/index3.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/index3.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:40	62120/62120	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/index4.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/index4.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:42	54119/54119	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/index5.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/index5.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:44	27919/27919	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/about.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/about.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:45	22847/22847	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:34%20GMT	http://designarc.biz/demos/unilevor/theme/history.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/history.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:46	27164/27164	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:26%20GMT	http://designarc.biz/demos/unilevor/theme/team.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/team.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:47	22987/22987	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/service.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/service.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:50	123149/123149	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/business-growth.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/business-growth.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:52	123175/123175	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/market-analysis.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/market-analysis.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:53	123193/123193	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/saving-investment.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/saving-investment.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:54	123189/123189	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/strategy-planning.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/strategy-planning.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:56	123182/123182	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/general-consultancy.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/general-consultancy.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:51:58	123265/123265	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/consumer-insight.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/consumer-insight.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:00	123158/123158	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/trade-stock.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/trade-stock.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:02	123174/123174	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:28%20GMT	http://designarc.biz/demos/unilevor/theme/tax-planning.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/tax-planning.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:04	24447/24447	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/case-1.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/case-1.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:04	25238/25238	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/case-2.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/case-2.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:06	24510/24510	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/case-details.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/case-details.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:07	8516/8516	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/404.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/404.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:07	5836/5836	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:40:32%20GMT	http://designarc.biz/demos/unilevor/theme/comingsoon.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/comingsoon.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:08	21608/21608	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:26%20GMT	http://designarc.biz/demos/unilevor/theme/testimonial.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/testimonial.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:09	29648/29648	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/faq.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/faq.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:09	29846/29846	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/blog.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/blog.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:10	30385/30385	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/blog-col2.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/blog-col2.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:11	32192/32192	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:30%20GMT	http://designarc.biz/demos/unilevor/theme/blog-details.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/blog-details.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:12	20759/20759	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202019%2001:54:32%20GMT	http://designarc.biz/demos/unilevor/theme/contact-us.html	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/contact-us.html	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:20	28833/28833	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jul%202018%2005:58:26%20GMT	http://designarc.biz/demos/unilevor/theme/img/about/about1.jpg	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/img/about/about1.jpg	(from http://designarc.biz/demos/unilevor/theme/index.html)
22:52:24	20592/20592	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jul%202018%2005:58:26%20GMT	http://designarc.biz/demos/unilevor/theme/img/about/about2.jpg	C:/Mis%20lugares%20Web/investidata3/designarc.biz/demos/unilevor/theme/img/about/about2.jpg	(from http://designarc.biz/demos/unilevor/theme/index.html)
